Resource,Language,Field,Designation,Size
Complete Python Web Course: Build 8 Python Web Apps (Udemy),Python,Web Apps,Classes,3938
pxyley,Python,Web Apps,Tools,3938
flexx,Python,Web Apps,Tools,3938
datasypre,Python,Web Apps,Tools,3938
R For Everyone,R,Other,Books,3938
The Data Science Toolbox (Coursera/John's Hopkins),R,Other,Classes,3938
Data Analysis With R (Udacity),R,Other,Classes,3938
Sabermetrics 101: Introduction to Baseball Analytics (edx),R,Other,Classes,3938
dplyr,R,Other,Tools,3938
tidyr,R,Other,Tools,3938
rattle,R,Other,Tools,3938
ProjectTemplate,R,Other,Tools,3938
Big Data Analytics with R,R,Big Data,Books,3938
Big Data Analysis with Revolution R Enterprise (DataCamp),R,Big Data,Classes,3938
sparkR,R,Big Data,Tools,3938
Mining Massive Data Sets,R,Data Mining,Books,3938
Mining Massive Data Sets (Coursera),R,Data Mining,Classes,3938
rvest,R,Data Mining,Tools,3938
ggplot2: Elegant Graphics for Data Analysis,R,Data Visualization,Books,3938
Data Visualization in R with ggvis (DataCamp),R,Data Visualization,Classes,3938
ggplot2,R,Data Visualization,Tools,3938
ggvis,R,Data Visualization,Tools,3938
Intro to Stat Thinking with R,R,Statistics,Books,3938
Explore Statistics With R (edx),R,Statistics,Classes,3938
rapaio,R,Statistics,Tools,3938
Machine Learning in Action,R,Machine Learning,Books,3938
Machine Learning for Hackers,R,Machine Learning,Books,3938
Applied Predictive Modeling,R,Machine Learning,Books,3938
An Introduction To Statistical Learning,R,Machine Learning,Books,3938
Statistical Learning (Stanford Languita),R,Machine Learning,Classes,3938
The Analytics Edge (edx),R,Machine Learning,Classes,3938
caret,R,Machine Learning,Tools,3938
Boruta,R,Machine Learning,Tools,3938
bst,R,Machine Learning,Tools,3938
C50,R,Machine Learning,Tools,3938
elasticnet,R,Machine Learning,Tools,3938
evtree,R,Machine Learning,Tools,3938
fpc,R,Machine Learning,Tools,3938
GAMBoost,R,Machine Learning,Tools,3938
glmnet,R,Machine Learning,Tools,3938
gbm,R,Machine Learning,Tools,3938
GMMBoost,R,Machine Learning,Tools,3938
kernlab,R,Machine Learning,Tools,3938
LibLineaR,R,Machine Learning,Tools,3938
mboost,R,Machine Learning,Tools,3938
maptree,R,Machine Learning,Tools,3938
mlr,R,Machine Learning,Tools,3938
medley,R,Machine Learning,Tools,3938
nnet,R,Machine Learning,Tools,3938
penalizedSVM,R,Machine Learning,Tools,3938
randomForest,R,Machine Learning,Tools,3938
rdetools,R,Machine Learning,Tools,3938
relaxo,R,Machine Learning,Tools,3938
rgp,R,Machine Learning,Tools,3938
